id,word,label
12116,去參加techno派對有沒有什麼要注意的?帶張椅子去,NOTABU
26252,覺得自己很沒用的時候怎麼激勵自己ㄛ?去學店開開眼界吧順便減肥,NOTABU
55240,"星巴克店員是不是對我有意思?今天的太陽都還沒出來,星巴尼你頭剌滾辣",NOTABU
86708,"自己的財產被檢舉不當黨產時,會怎樣?眷村都是啊,強佔台灣人土地的",NOTABU
59740,會不會明天換肯德基沒得吃啊?台灣的漢堡王經營就是垃圾,ABU
10511,"兩岸開前,台幣要換什麼?買最安全的美元,再隨時抄底台幣啊",NOTABU
97624,花錢去露營區露營的是白癡嗎?去準備好的地方露營根本智障,ABU
59207,YT一堆智障手遊廣告?不要用YT阿,ABU
76221,講幹您娘會比較禮貌嗎??學學滯台支那人講操你媽的B,ABU
95269,"媽的會相信星座的人是智障嗎?只是找話題而已,不是真的相信",ABU
92648,"大學畢業才找到目標會太晚嗎認真文?承認自己是廢物,日子會比較好過",ABU
31160,跟老婆們一起逛街要注意甚麼?電腦前都聞的到味道了,NOTABU
88839,"２月推噓箭頭統計,誤差大不大?好吧GG,可能例外",NOTABU
33428,"在國高中對面要開什麼才賺?找個小模穿爆乳裝,做什麼都會很賺",NOTABU
24072,可以跟你擋鎯一下嗎?外省卦黑話!自己去削鎯好嗎!,NOTABU
96801,當年RO法師用火壁吃王有多爽?第一次練冰雷被虐成智障,ABU
15415,美國哪來那麼多腦殘?寧願病死也不要悶死,ABU
74710,"放假要加班是什麼感覺?加班費夠多就不會上來抱怨了,多的是加班沒兩倍的",NOTABU
60831,"興奮哥算是肥宅界的霸主嗎?什麼?,工作人員?\",NOTABU
49727,"小韓是不是輸的冤枉?誰叫你沒後臺,你還是21小時後再來吧",NOTABU
73099,"有沒有【洨】被汙名化的八卦?你心裡有74,那便是74",NOTABU
75411,一場雨把我困在這裡?他媽的關我屁事幹你娘死肥宅,ABU
42694,"失去妳,贏了一切卻依然如此冷清的八卦?公三小,",NOTABU
26746,星期六應該沒人噓吧?連字都不會打?比畜生還不如,ABU
70061,"秋海棠為什麼變老母雞?俄羅斯很聰明,知道中國人多,吃不下",NOTABU
67501,有沒有大學專題的八卦?青葉八神日富美遠山是我老婆好嗎,NOTABU
78522,外國人崩潰怎麼辦?跟他說廢物看不懂中文齁,ABU
58149,"放寒假,上下班擁擠捷運沒高中妹了?不會去看小蘿莉喔",NOTABU
22495,"有沒有義務役乾脆在家當兵的八卦?要進去了吼XD,認命好嗎?",NOTABU
93023,"一妻多夫,一夫多妻?好窩,我要外帶兩男兩女謝謝",NOTABU
59065,大家十歲時有什麼外號?金槍不倒大屌俠,NOTABU
11981,有沒有網路泡沫化的八卦?後來的奈米、雲端、大數據也有相同現象,NOTABU
31536,鋰電池發展現況?你不是很厲害?繞過鋰電池直接發動割草機不會嗎?,NOTABU
36997,"I,MISS,YOUI,MISS,YOUI,MISS,YOU?I,piss,you",NOTABU
36514,"女生的穩定是指什麼意思R?台男還真的以為有錢能買真愛,有錢只能做回收啦",NOTABU
61981,"兩年拿到碩士+博士,算神人嗎?既然是數學家,某方面來說本來就不能算正常人了",NOTABU
83181,贏了!柯粉閉嘴阿伯去吃屎,ABU
